역,x,y
공덕역,37.544018,126.951592
공덕역,37.544018,126.951592
공덕역,37.544018,126.951592
공덕역,37.544018,126.951592
애오개역,37.553736,126.95682
서대문역,37.565773,126.966641
광화문역,37.571026,126.976669
청구역,37.560245,127.013828
청구역,37.560245,127.013828
신금호역,37.554548,127.020331
행당역,37.557322,127.029476
마장역,37.5661,127.042973
답십리역,37.566747,127.052704
장한평역,37.56144,127.064623
군자역,37.557121,127.079542
군자역,37.557121,127.079542
아차산역,37.551691,127.089761
광나루역,37.545303,127.10357
천호역,37.538397,127.123572
천호역,37.538397,127.123572
강동역,37.535804,127.132481
길동역,37.537801,127.140004
굽은다리역,37.545477,127.142853
명일역,37.55137,127.143999
고덕역,37.555004,127.154151
둔촌동역,37.527788,127.136248
올림픽공원역,37.516078,127.130848
방이역,37.508857,127.126133
오금역,37.502162,127.128111
오금역,37.502162,127.128111
개롱역,37.498079,127.13482
거여역,37.493105,127.14415
마천역,37.49499,127.152781
응암역,37.598605,126.915577
역촌역,37.606021,126.922744
독바위역,37.618456,126.933031
구산역,37.611377,126.91727
새절역,37.591148,126.913629
증산역,37.583876,126.909645
디지털미디어시티역,37.576646,126.900984
디지털미디어시티역,37.576646,126.900984
디지털미디어시티역,37.576646,126.900984
월드컵경기장역,37.569532,126.899298
마포구청역,37.563515,126.903343
망원역,37.556094,126.910052
상수역,37.547716,126.922852
광흥창역,37.547456,126.931993
대흥역,37.547771,126.942069
효창공원앞역,37.539261,126.961351
효창공원앞역,37.539261,126.961351
녹사평역,37.534675,126.986695
이태원역,37.534488,126.994302
한강진역,37.539631,127.001725
버티고개역,37.548013,127.007055
창신역,37.579661,127.015241
보문역,37.585286,127.019381
보문역,37.585286,127.019381
안암역,37.586272,127.029005
고려대역,37.590508,127.036296
월곡역,37.601948,127.041518
상월곡역,37.606377,127.048491
돌곶이역,37.610537,127.056431
태릉입구역,37.617983,127.07512
태릉입구역,37.617983,127.07512
화랑대역,37.620064,127.084689
봉화산역,37.617283,127.091401
장암역,37.700109,127.053196
수락산역,37.67785,127.055315
마들역,37.66494,127.057675
중계역,37.644583,127.064303
하계역,37.636352,127.06799
먹골역,37.610637,127.077725
중화역,37.602545,127.079264
상봉역,37.596362,127.085032
상봉역,37.596362,127.085032
상봉역,37.596362,127.085032
면목역,37.588579,127.087503
사가정역,37.580894,127.088478
용마산역,37.573647,127.086727
중곡역,37.565923,127.08432
어린이대공원역,37.548014,127.074658
뚝섬유원지역,37.53154,127.066704
청담역,37.519365,127.05335
강남구청역,37.517186,127.04128
강남구청역,37.517186,127.04128
학동역,37.514229,127.031656
논현역,37.511093,127.021415
반포역,37.508178,127.011727
내방역,37.487618,126.993513
남성역,37.484596,126.971251
숭실대입구역,37.496029,126.953822
장승배기역,37.504898,126.93915
신대방삼거리역,37.499701,126.928276
보라매역,37.499872,126.920428
신풍역,37.50008,126.90993
남구로역,37.486056,126.887249
철산역,37.47605,126.867911
광명사거리역,37.479252,126.854876
천왕역,37.486637,126.838713
까치울역,37.506207,126.810939
부천종합운동장역,37.50538,126.797337
춘의역,37.503663,126.787036
신중동역,37.503048,126.77596
부천시청역,37.504631,126.763538
상동역,37.505781,126.753083
삼산체육관역,37.506411,126.742153
굴포천역,37.506997,126.73128
암사역,37.55021,127.127562
강동구청역,37.530341,127.120508
몽촌토성역,37.517409,127.112359
석촌역,37.505431,127.106979
송파역,37.499703,127.112183
가락시장역,37.492522,127.118234
가락시장역,37.492522,127.118234
문정역,37.485855,127.1225
장지역,37.478703,127.126191
산성역,37.457122,127.149908
남한산성입구역,37.451535,127.159816
단대오거리역,37.44521,127.156866
신흥역,37.440918,127.147564
수진역,37.437428,127.140722
계양역,37.571462,126.735637
계양역,37.571462,126.735637
귤현역,37.566379,126.742654
임학역,37.545059,126.738665
계산역,37.543238,126.728128
경인교대입구역,37.538157,126.722597
작전역,37.530415,126.722527
갈산역,37.517268,126.721514
부평구청역,37.508336,126.720548
부평구청역,37.508336,126.720548
부평시장역,37.498383,126.722244
동수역,37.485312,126.718247
부평삼거리역,37.477679,126.710208
간석오거리역,37.467048,126.707938
인천시청역,37.457405,126.702221
인천시청역,37.457405,126.702221
예술회관역,37.449396,126.701012
인천터미널역,37.442383,126.699706
문학경기장역,37.434935,126.698579
선학역,37.426684,126.698863
신연수역,37.41804,126.693863
원인재역,37.412603,126.687389
원인재역,37.412603,126.687389
동춘역,37.404737,126.681015
동막역,37.397878,126.674005
캠퍼스타운역,37.387855,126.661673
테크노파크역,37.382268,126.656365
지식정보단지역,37.378384,126.645168
인천대입구역,37.386007,126.639484
검단오류역,37.594877,126.627178
왕길역,37.59518,126.642696
검단사거리역,37.60185,126.657108
마전역,37.597566,126.666998
독정역,37.585212,126.675844
검바위역,37.561405,126.677566
아시아드경기장역,37.5517,126.677122
서구청역,37.543742,126.676787
가정역,37.524649,126.675539
가정중앙시장역,37.517054,126.676672
석남역,37.506193,126.676203
서부여성회관역,37.506193,126.676203
인천가좌역,37.4897,126.675208
가재울역,37.484192,126.683673
주안국가산단역,37.473703,126.68113
시민공원역,37.458335,126.681192
석천사거리역,37.456805,126.709986
모래내시장역,37.45583,126.719298
만수역,37.454911,126.732094
남동구청역,37.448161,126.736939
인천대공원역,37.448769,126.752618
운연역,37.440127,126.75997
개화역,37.578608,126.798153
공항시장역,37.563726,126.810678
신방화역,37.567532,126.816601
마곡나루역,37.567336,126.829497
양천향교역,37.568381,126.841333
가양역,37.561391,126.854456
증미역,37.557402,126.861939
등촌역,37.550632,126.865689
염창역,37.546936,126.874916
신목동역,37.544277,126.88308
선유도역,37.53802,126.893525
국회의사당역,37.528105,126.917874
샛강역,37.517274,126.928422
노들역,37.512887,126.953222
흑석역,37.50877,126.963708
구반포역,37.501364,126.987332
신반포역,37.503415,126.995925
사평역,37.504206,127.015259
신논현역,37.504598,127.02506
언주역,37.507287,127.033868
삼성중앙역,37.513011,127.053282
봉은사역,37.514219,127.060245
검암역,37.569104,126.673728
검암역,37.569104,126.673728
청라국제도시역,37.555878,126.625327
운서역,37.492904,126.49379
공항화물청사역,37.458366,126.476241
인천국제공항역,37.447464,126.452508
영종역,37.511466,126.5237
양재시민의숲역,37.470023,127.03842
김량장역,37.237247,127.198781
운동장?송담대역,37.237845,127.209198
고진역,37.24484,127.214251
보평역,37.258965,127.218457
둔전역,37.267051,127.21364
전대?에버랜드역,37.285342,127.219561
발곡역,37.727048,127.052803
범골역,37.728755,127.04353
경전철의정부역,37.737202,127.043257
의정부시청역,37.739256,127.034781
흥선역,37.743302,127.037023
의정부중앙역,37.743676,127.049565
동오역,37.745271,127.056947
새말역,37.748885,127.06362
경기도청북부청사역,37.75059,127.071495
효자역,37.754025,127.076902
곤제역,37.750471,127.083715
어룡역,37.742802,127.085035
송산역,37.737279,127.087159
솔밭공원역,,
삼양역,,
삼양사거리역,,
솔샘역,,
북한산보국문역,,
정릉역,,
판교역,37.394761,127.111217
판교역,37.394761,127.111217
동천역,37.337928,127.102976
수지구청역,37.322702,127.095026
성복역,37.313335,127.0801
상현역,37.297664,127.069342
광교중앙역,37.288617,127.051478
광교역,37.30211,127.044483
강남대역,37.270161,127.126033
지석역,37.269606,127.136515
